team_id,appraisal_stats_id,dialog
1,1,"Its stats are not out of the norm, in my estimation."
1,2,Its stats are noticeably trending to the positive.
1,3,"I am certainly impressed by its stats, I must say."
1,4,Its stats exceed my calculations. It's incredible!
2,1,Its stats don't point to greatness in battle.
2,2,"Its stats indicate that in battle, it'll get the job done."
2,3,It's got excellent stats! How exciting!
2,4,I'm blown away by its stats. WOW!
3,1,"Its stats are all right, but kinda basic, as far as I can see."
3,2,It's definitely got some good stats. Definitely!
3,3,Its stats are really strong! Impressive. 
3,4,Its stats are the best I've ever seen! No doubt about it!
